,segment,speaker,debate,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length
787,"No, no, no. That's not quite accurate. I have a 100 percent pro-choice voting record. In every speech that I give, what I say is not only do we stop the Republican efforts to try to defund Planned Parenthood, we should expand funding for Planned Parenthood. [applause]",sanders,d_des_moines_2016_01_25,45.299786407766995,10,0,28,6.7325,5,2,0,0,47,5,9.4,11.038115781237304
788,"Now what I said, what I said on a television program, and I did not say it well, is that sometimes the base of an organization looks at the world a little bit differently than the leadership.",sanders,d_des_moines_2016_01_25,41.12828767123288,5,0,0,14.575,5,1,0,0,37,1,37.0,0.0
789,"So if you have 100 percent Planned Parenthood voting record, 100 percent pro-choice voting record, there are people who are asking, why is the leadership not either supporting Bernie Sanders or why are they, you know, opposing him?",sanders,d_des_moines_2016_01_25,51.84000000000001,7,0,0,17.165,2,0,2,2,38,1,38.0,0.0
790,"And my point is that I will fight - these are great organizations. I met with Planned Parenthood. They do a fantastic job not only in defending women's rights in general, but talking about sexuality in America.",sanders,d_des_moines_2016_01_25,127.77333333333341,7,0,1,8.645,7,0,0,1,37,3,12.333333333333334,5.734883511361751
791,They are a fantastic organization. Count me in as somebody who strongly supports them.,sanders,d_des_moines_2016_01_25,14.0,4,0,0,7.6425,1,0,0,1,14,2,7.0,2.0
792,"So this was simply a question of endorsement policy, not whether or not I strongly support these organizations. Do I have your vote yet?",sanders,d_des_moines_2016_01_25,80.63999999999997,6,0,0,7.95,2,0,2,0,24,2,12.0,6.0
793,"Correct, she's saying, as to the purpose of the question, not to whether or not you have her vote. I think she's going to have to decide on that.",cuomo,d_des_moines_2016_01_25,32.3175,2,0,1,4.7275,1,0,1,4,29,2,14.5,4.5
794,"I know. I'm just kidding, but that is the difference. I support the organization.",sanders,d_des_moines_2016_01_25,16.27981651376147,3,0,5,5.705,4,0,0,0,14,3,4.666666666666667,2.494438257849294
795,"Alexis, second aspect to your question though, right? You said then the first female president. How do you think that you would be as helpful to women as a woman president would?",cuomo,d_des_moines_2016_01_25,47.78666666666667,4,0,4,5.855,0,0,5,1,32,3,10.666666666666666,4.4969125210773475
796,"What about that aspect? That's what Hillary Clinton represents on one level to voters, that she would be the first female president, and there is something special in that, especially when it comes to women's issues.",cuomo,d_des_moines_2016_01_25,49.135280898876395,10,0,0,10.0675,4,0,0,1,36,2,18.0,14.0
797,"And of course, I understand that.",sanders,d_des_moines_2016_01_25,6.0,0,0,5,3.095,1,0,0,0,6,1,6.0,0.0
798,"But I think if you look at my record in terms of fighting for women's rights, I think there are very few members of Congress who have a stronger record. It's 100 percent lifetime, and I've been there for a while.",sanders,d_des_moines_2016_01_25,57.524444444444434,6,0,2,7.06,7,0,1,0,41,2,20.5,9.5
799,"In addition to that, you know, there have - as you know, women are making 79 cents on the dollar compared to men. That is nothing but old-fashioned sexism, and I am a strong advocate and will fight for pay equity for women.",sanders,d_des_moines_2016_01_25,67.24,6,0,17,9.094999999999999,3,0,2,0,43,2,21.5,1.5
800,"I believe that - and it's not only women, although it impacts women and women of color even greater, this level of pay inequality, inequity, is extraordinary. So we're going to fight for pay equity, make sure that everybody earns the same amount for the same work.",sanders,d_des_moines_2016_01_25,47.16509090909091,6,0,4,11.135000000000002,7,1,0,0,47,2,23.5,3.5
801,"Also, what we have got to do is people cannot make it on 8, 9, 10 bucks an hour. We have got to raise the minimum wage in this country to a living wage. That will impact all people. It will impact women more than men as we raise the minimum wage to 15 bucks an hour. [applause]",sanders,d_des_moines_2016_01_25,54.0,3,0,6,4.407500000000001,6,3,0,0,58,5,11.6,7.255342858886822
802,All right. So...,cuomo,d_des_moines_2016_01_25,3.0,0,0,0,-1.415,0,0,0,0,3,2,1.5,0.5
803,"Well, one more point, one more point, Chris. I'm trying to win her vote. Leave me alone here. [laughter]",sanders,d_des_moines_2016_01_25,28.666666666666668,2,0,2,2.0675000000000003,1,1,0,4,19,4,4.75,2.5860201081971503
804,"All right. Hillary Clinton and I have a disagreement on a very important issue that impacts everybody, but especially women. I believe that we should expand Social Security benefits by lifting the cap on taxable income.",sanders,d_des_moines_2016_01_25,90.71999999999997,11,0,1,11.54,6,1,0,0,36,3,12.0,7.118052168020874
805,"That will help millions of low-income seniors, especially women. Ask Hillary Clinton if she's prepared to lift the cap on taxable income. [applause]",sanders,d_des_moines_2016_01_25,24.0,7,0,2,8.94,3,0,0,2,23,3,7.666666666666667,4.988876515698588
806,"All right, Alexis, I want to put you a little bit on the spot. Now that you heard the answer... [laughter] ...what do you think now - and he looks like that even when he's happy, so don't worry about his particular reactions. [laughter]",cuomo,d_des_moines_2016_01_25,81.00000000000001,4,0,9,8.8475,1,0,3,4,44,4,11.25,7.725768570181222
807,"So after the answer, where are you, same place, open-minded, what are you at?",cuomo,d_des_moines_2016_01_25,27.439999999999994,1,0,0,6.01,0,0,2,0,14,1,14.0,0.0
808,"ALEXIS: It definitely means I'm going to have some hard thinking to do in the next week, but it reassures me and it was a good plan to speak about.",cuomo,d_des_moines_2016_01_25,67.27000000000001,4,0,4,10.905,5,1,0,0,30,1,30.0,0.0
809,Thank you.,cuomo,d_des_moines_2016_01_25,2.0,0,0,0,-2.2275,0,0,1,0,2,1,2.0,0.0
810,Thank you very much. [applause],sanders,d_des_moines_2016_01_25,5.0,1,0,0,3.7800000000000002,0,0,1,0,5,2,2.5,1.5
811,Take progress where you find it.,cuomo,d_des_moines_2016_01_25,6.0,0,0,0,1.995,1,0,1,0,6,1,6.0,0.0
812,"All right, we'll give Alexis some time to think, the rest of you as well.",cuomo,d_des_moines_2016_01_25,16.0,1,0,5,4.3025,0,2,1,0,15,1,15.0,0.0
813,We have more questions for Senator Sanders and his final pitch to these Iowa voters when we come back.,cuomo,d_des_moines_2016_01_25,101.07999999999991,4,0,0,8.469999999999999,1,2,0,1,19,1,19.0,0.0
814,Stay with us.,cuomo,d_des_moines_2016_01_25,3.0,0,0,0,-2.615,0,0,0,0,3,1,3.0,0.0
815,[commercial break],cuomo,d_des_moines_2016_01_25,2.0,1,0,0,15.524999999999999,0,0,0,0,2,1,2.0,0.0
816,"Welcome back to the CNN Democratic Presidential Town Hall here at Drake University in Des Moines, Iowa.",cuomo,d_des_moines_2016_01_25,17.0,3,0,0,11.294999999999998,2,1,0,2,17,1,17.0,0.0
817,We're here with Senator Bernie Sanders.,cuomo,d_des_moines_2016_01_25,7.0,1,0,0,7.387500000000001,0,1,0,2,6,1,6.0,0.0
818,We've been talking about the issues.,cuomo,d_des_moines_2016_01_25,7.0,2,0,3,4.395,1,1,0,0,6,1,6.0,0.0
819,"You were working on a young woman there, trying to get her vote.",cuomo,d_des_moines_2016_01_25,13.0,2,0,2,4.215,0,1,2,2,13,1,13.0,0.0
820,I have another woman. I think you've got some work left to do on.,cuomo,d_des_moines_2016_01_25,63.00000000000002,0,0,1,1.265,2,0,1,0,14,2,7.0,3.0
821,Her name is Secretary Clinton.,cuomo,d_des_moines_2016_01_25,5.0,2,0,0,7.02,1,0,0,2,5,1,5.0,0.0
822,She has an ad out now. You both put out big ads. I know how you feel about yours.,cuomo,d_des_moines_2016_01_25,50.54000000000001,0,0,3,-0.9500000000000001,1,0,5,1,19,3,6.333333333333333,0.4714045207910317
823,"Let's take a look at Secretary Clinton's ad and get your take on it, Senator, right here in this room.",cuomo,d_des_moines_2016_01_25,67.75999999999999,3,0,0,8.26,2,0,2,2,20,1,20.0,0.0
824,[begin video clip],cuomo,d_des_moines_2016_01_25,3.0,0,0,0,2.205,0,0,0,0,3,1,3.0,0.0
825,"UNIDENTIFIED MALE: The world a president has to grapple with - sometimes you can't even imagine. That's the job and she's prepared for it like no other, a tireless secretary of State, standing up against the abuse of women and girls, negotiating a cease-fire in Gaza, leading the diplomacy that keeps us out of war.",unidentified,d_des_moines_2016_01_25,90.97200000000002,11,0,14,12.6375,3,0,1,1,55,3,18.333333333333332,15.412837362262522
826,The presidency is the toughest job in the world and she's the one leader who has what it takes to get every part of the job done.,unidentified,d_des_moines_2016_01_25,43.903999999999996,2,0,0,9.0225,3,0,0,1,27,1,27.0,0.0
827,I'm Hillary Clinton and I approved this message.,clinton,d_des_moines_2016_01_25,22.679999999999993,2,0,0,5.665,2,0,0,0,8,1,8.0,0.0
828,[end video clip],clinton,d_des_moines_2016_01_25,3.0,0,0,0,-0.445,0,0,0,0,3,1,3.0,0.0
829,"The argument is sure, Bernie's got the heart, but I have the head. You have to be experienced, you have to know what to do. [laughter]",cuomo,d_des_moines_2016_01_25,22.439189189189186,3,0,7,5.255,2,0,2,2,26,3,8.666666666666666,5.436502143433364
830,"Is Secretary Clinton simply better prepared for the job than you, sir?",cuomo,d_des_moines_2016_01_25,12.0,4,0,0,8.002500000000001,1,0,1,0,12,1,12.0,0.0
831,Don't leave. We have another 15 minutes. [laughter],cuomo,d_des_moines_2016_01_25,8.0,2,0,2,6.39,0,1,0,0,8,3,2.6666666666666665,1.699673171197595
832,"No, this calls for a standing up response.",sanders,d_des_moines_2016_01_25,8.0,2,0,3,3.4025,0,0,0,0,8,1,8.0,0.0
833,OK.,cuomo,d_des_moines_2016_01_25,1.0,0,0,0,-10.9525,0,0,0,0,1,1,1.0,0.0
834,"That's all. [laughter] All right, let me shock everybody here. This is true. I've known Hillary Clinton for 25 years.",sanders,d_des_moines_2016_01_25,123.47999999999988,2,0,5,3.6125,2,0,0,2,20,5,4.0,2.5298221281347035
835,You know what?,sanders,d_des_moines_2016_01_25,3.0,0,0,1,-1.7475000000000003,0,0,1,0,3,1,3.0,0.0
836,"I like Hillary Clinton and I respect Hillary Clinton. And Hillary Clinton has devoted her life to public service and I have tried, as I hope you all know, not to run a negative campaign, not to be attacking every other day, to keep this discussion on a high level, where we debate the issues facing this country. [applause]",sanders,d_des_moines_2016_01_25,51.2620606060606,10,0,5,12.4725,5,1,1,2,59,3,19.666666666666668,20.997354330698162
837,"And by the way, with a few exceptions, we're doing a lot better than the Republicans in that regard. [applause]",sanders,d_des_moines_2016_01_25,61.74000000000001,5,0,12,9.94,1,1,0,0,20,2,10.0,9.0
838,"But on the other hand, that's not a very high bar to reach, so... [laughter] ...all right.",sanders,d_des_moines_2016_01_25,18.0,1,0,0,5.4975,0,0,0,0,17,3,6.0,5.656854249492381
839,But what is - what is this?,sanders,d_des_moines_2016_01_25,6.0,0,0,0,-0.29000000000000004,2,0,0,0,7,1,7.0,0.0
840,"All right, what do I think?",sanders,d_des_moines_2016_01_25,6.0,0,0,6,-0.45750000000000013,1,0,0,0,6,1,6.0,0.0
841,Let me just give you a couple of examples.,sanders,d_des_moines_2016_01_25,9.0,2,0,0,3.6174999999999997,0,0,1,0,9,1,9.0,0.0
842,"The truth is that the most significant vote and issue regarding foreign policy that we have seen in this country in modern history was the vote on the war in Iraq. OK, that's the fact.",sanders,d_des_moines_2016_01_25,40.32,6,0,0,8.085,6,1,0,1,35,2,17.5,13.5
843,"I voted against the war in Iraq and if you go to my Web site, listen to the speech that I gave when I was in the House in 2002, saying, yes, it's easy to get rid of a dictator like Saddam Hussein, but there's going to be a political vacuum, there will be instability.",sanders,d_des_moines_2016_01_25,67.5446153846154,8,0,0,18.884999999999998,11,1,1,0,55,1,55.0,0.0
844,"And it gives me no pleasure to tell that much of what I feared, in fact, happened.",sanders,d_des_moines_2016_01_25,17.0,1,0,2,5.01,3,0,0,0,17,1,17.0,0.0
845,Hillary Clinton voted for the war in Iraq.,sanders,d_des_moines_2016_01_25,8.0,2,0,2,3.575,2,0,0,0,8,1,8.0,0.0
846,"All right, in terms of Wall Street, I fought against deregulation, led the opposition to doing away with the Glass-Steagall legislation. Unfortunately, my side lost. Wall Street became deregulated. The rest is history.",sanders,d_des_moines_2016_01_25,76.23,7,0,16,9.23,4,0,0,1,33,4,8.25,7.361215932167728
847,"Wall Street has operated, in a very significant way in a fraudulent way, and obviously their greed and recklessness helped destroy our economy and create the worst recession since the Great Depression.",sanders,d_des_moines_2016_01_25,47.78666666666667,9,0,3,18.2475,2,1,0,2,32,1,32.0,0.0
848,I led the effort against Wall Street deregulation. See where Hillary Clinton was on this issue.,sanders,d_des_moines_2016_01_25,16.0,4,0,1,6.14,2,0,0,0,16,2,8.0,0.0
849,"In terms of climate change, which everybody here knows - and apparently everybody in the world knows except Republican candidates for president, is one of the great environmental crises facing this nation.",sanders,d_des_moines_2016_01_25,53.81600000000002,7,0,0,17.762500000000003,3,0,0,2,32,1,32.0,0.0
850,"On day one, I said the Keystone Pipeline is a dumb idea. [applause]",sanders,d_des_moines_2016_01_25,13.0,3,0,5,4.5925,3,0,0,0,13,2,6.5,5.5
851,Senator...,cuomo,d_des_moines_2016_01_25,1.0,1,0,0,20.497500000000002,0,0,0,0,1,1,1.0,0.0
852,OK. I think the Bakken Pipeline and pipelines in Vermont and New Hampshire are dumb. I think we've got to break our dependence on fossil fuel.,sanders,d_des_moines_2016_01_25,68.03999999999998,6,0,2,6.225,3,2,0,0,26,3,8.666666666666666,5.557777333511022
853,Why did it take... [applause] ...Why did it take Hillary Clinton such a long time before she came into opposition to the Keystone Pipeline?,sanders,d_des_moines_2016_01_25,32.16000000000001,5,0,6,10.9375,3,0,0,1,24,3,8.333333333333334,7.586537784494029
854,"Trade policy - I have understood from day one that our trade policies have cost us - NAFTA, CAFTA, PNTR with China, millions of decent-paying jobs. I didn't have to think hard about opposing the Transpacific Partnership. [applause]",sanders,d_des_moines_2016_01_25,95.83,13,0,3,11.987499999999999,2,1,0,0,38,4,9.5,9.233092656309694
855,It took Hillary Clinton a long time to come on board that.,sanders,d_des_moines_2016_01_25,12.0,1,0,1,3.4875,1,0,0,0,12,1,12.0,0.0
856,So...,cuomo,d_des_moines_2016_01_25,1.0,0,0,0,-8.5775,0,0,0,0,1,1,1.0,0.0
857,"In other words, yes, I do think I have the background and the judgment to take this very, very difficult job of being president of the United States.",sanders,d_des_moines_2016_01_25,43.903999999999996,3,0,8,11.3225,3,0,0,0,28,1,28.0,0.0
858,One point of push back... [applause] ...we know we're in the final stretch here. Intensity gets higher when you're in the final stretch like we are right now.,cuomo,d_des_moines_2016_01_25,33.00000000000001,4,0,2,6.6525,3,3,1,2,28,4,7.25,4.437059837324712
859,Yes.,sanders,d_des_moines_2016_01_25,1.0,0,0,0,-8.3275,0,0,0,0,1,1,1.0,0.0
860,"But on January 19th, you were talking about Secretary Clinton's experience argument and you referred to Dick Cheney. You said he had a lot of experience, too.",cuomo,d_des_moines_2016_01_25,73.17333333333337,7,0,8,9.057500000000001,0,1,3,1,27,2,13.5,4.5
861,Right.,sanders,d_des_moines_2016_01_25,1.0,0,0,0,-3.0524999999999998,0,0,0,0,1,1,1.0,0.0
862,Now... [laughter] ...referring to Dick Cheney when talking about Hillary Clinton not exactly the most high brow way to conduct the election...,cuomo,d_des_moines_2016_01_25,67.75999999999999,8,0,0,12.59,0,0,0,0,22,2,11.5,8.5
863,Look...,sanders,d_des_moines_2016_01_25,1.0,0,0,0,-3.3275,0,0,0,0,1,1,1.0,0.0
864,- some might suggest.,cuomo,d_des_moines_2016_01_25,3.0,1,0,3,5.1125,0,0,0,0,4,1,4.0,0.0
865,"- my - my only point was, look, Secretary Clinton was secretary of State of this country for four years. That is a lot of experience. There's no debate about that. I was not secretary of State.",sanders,d_des_moines_2016_01_25,18.762133746281428,4,0,0,4.9475,4,0,0,0,37,5,7.4,2.8705400188814645
866,"But, experience is important, but judgement is also important. And, my own point was in talking Dick Cheney, he had a lot of experience too. His policies with regard to foreign affairs was an absolute disaster. So, experience is important, but it is not the only thing. And, I would urge people to check out my views on foreign policy, how we deal with ISIS, and I think they will make a lot of sense to the people of Iowa, and the people of our country.",sanders,d_des_moines_2016_01_25,43.14238410596027,11,0,4,7.515000000000001,15,2,0,3,86,5,17.2,11.142710621747295
867,Let's get a question. Carrie Crawford says she's undecided. Mother of three grown kids. What is your question?,cuomo,d_des_moines_2016_01_25,56.000000000000014,3,0,2,4.405,1,0,2,1,18,4,4.5,0.5
868,"QUESTION: Hello, Senator Sanders. In light of the recent mass shootings, I'm intered to know how you're going to make inroads with the powerful gun lobby to establish more effective gun control legislation.",cuomo,d_des_moines_2016_01_25,85.74999999999997,10,0,0,11.129999999999999,4,0,1,1,33,3,11.0,12.754084313139327
869,"And, the second part of my question is how will you support easier access to mental health care clinics.",cuomo,d_des_moines_2016_01_25,19.0,5,0,0,8.942499999999999,2,0,1,1,19,1,19.0,0.0
870,"Good. Excellent questions. Now, I have been attacked - in fact, this is an issue that Hillary Clinton has focused on, and that's politics. And that's fine.",sanders,d_des_moines_2016_01_25,41.44,7,0,5,7.77,4,0,0,0,27,4,6.75,8.257572282456872
871,"Although, some of you might recall that back in 2007, when she was running against Barack Obama, she also focused on that issue. But she thought that Obama was too strong on gun issues. You may remember him referring to her as ""Annie Oakley"", alright?",sanders,d_des_moines_2016_01_25,67.76000000000002,10,0,10,7.260000000000001,3,0,2,6,45,3,15.0,5.656854249492381
872,"Today, Hillary Clinton's running a lot of advertisements on gun issues. Interestingly enough, she's running most of them in New Hampshire where she thinks it'll work, not running so many of them in rural Iowa. Well, you can form your own judgement as to why that is the case.",sanders,d_des_moines_2016_01_25,94.64000000000001,7,0,14,7.717499999999999,7,1,3,2,49,3,16.333333333333332,5.557777333511022
873,"To answer your question, in 1988 I ran Vermont's lone seat in the U.S. House of Representatives. I ran as an Independent against a Democrat and a Republican. The gun lobby said vote for either the Democrat or the Republican, don't vote for Bernie Sanders. This is 1988. Because Bernie thinks that we should not be selling military style assault weapons in the United States of America. Back in 1988. I lost that election by three percentage points. I cannot tell you that that was the only reason, but I had the gun groups working against me back then.",sanders,d_des_moines_2016_01_25,99.0,12,0,18,6.137499999999999,11,2,3,0,99,8,12.375,6.688376110835873
874,"Since then, I have supported instant background checks, the expansion of instant background checks because I believe our job, if we're going to end these horrific mass murders, or at least have some impact in lessening the occurrence of them, we have got to do our best to make sure that guns do not get into the hands of people who should not have them. Criminals, people with mental instability.",sanders,d_des_moines_2016_01_25,74.28842105263159,10,0,48,15.14,9,4,0,0,70,2,35.0,30.0
875,"I believe as President Obama does that we got to deal with this gun show loophole, and that's what he's working on now with his executive order. People should not be able to circumvent the instant background check through the gun show, or through the Internet.",sanders,d_des_moines_2016_01_25,71.68,7,0,1,11.0075,3,1,0,2,46,2,23.0,4.0
876,"I believe that we should make a federal crime of the so-called, ""Strawman Situation"", where people are buying guns legally, going through the instant background check, and then selling them to criminals.",sanders,d_des_moines_2016_01_25,286.72,7,0,1,16.03,2,1,0,0,32,1,32.0,0.0
877,"Senator, address your shift on the issue regarding manufacturers and their liability...",cuomo,d_des_moines_2016_01_25,12.0,5,0,2,16.065,1,0,2,1,12,1,12.0,0.0
878,... Here is the issue...,sanders,d_des_moines_2016_01_25,4.0,1,0,0,1.6225,2,0,0,2,5,2,2.5,1.5
879,"... Just to remind you guys. Tell them where you were first, and what you just said recently.",cuomo,d_des_moines_2016_01_25,26.97333333333333,1,0,0,4.0225,0,1,3,0,18,2,9.0,3.0
880,"I voted for the bill, and the reason I voted for the bill is you got a bill which has a number of elements in it, among other things it has a section which says we should not be selling ammunition which will pierce policemans armor and protection. I think that's a right thing.",sanders,d_des_moines_2016_01_25,44.32038834951456,8,0,2,10.555,7,1,1,0,54,2,27.0,21.0
881,It had a section in it which said that we want to have safety locks for children on guns. That makes sense to me.,sanders,d_des_moines_2016_01_25,53.760000000000005,1,0,1,3.0549999999999997,3,1,0,0,24,2,12.0,7.0
882,"It also had a provision in it which says the following - and people may disagree with me, this is my view. Is that if you are a small gun shop in Vermont, and I legally sell you a weapon, OK? You go out, buy that gun legally, and then you go out and kill somebody. I think the gun shop owner should not be held liable to your criminal act. That's what I believe.",sanders,d_des_moines_2016_01_25,61.877780867630705,6,0,2,4.84,11,1,6,1,75,5,15.0,6.099180272790763
883,"Now, within that bill also there was some onerous provision. Not good provisions. What happens if a gun manufacturer is selling a whole lot of guns into an area, far more guns than that area can consume? And, what happens if that gun owner - that gun manufacturer should know that those guns are going into criminal hands. Should that gun manufacturer be held liable? Yes, he should.",sanders,d_des_moines_2016_01_25,53.43724696356276,10,0,9,6.925,5,0,0,2,68,6,11.333333333333334,8.29993306532582
884,"So, I am willing now to look at that legislation, maintain what was good in it, get rid of what is bad in it.",sanders,d_des_moines_2016_01_25,53.760000000000005,2,0,0,7.3549999999999995,6,0,0,0,24,1,24.0,0.0
885,"But isn't that having it both ways? Like, either they have liability as a manufacturer or they don't. The first argument seems to make sense. Why would they be exposed to liability that other manufacturers are not? But are you having it both ways?",cuomo,d_des_moines_2016_01_25,49.37333333333333,5,0,10,6.0525,3,0,1,3,44,5,8.8,2.2271057451320084
886,"I don't think so, Chris. If you sell, if you are a small gun shop owner and you sell somebody a gun, legally, all right, you don't do anything wrong. That's what you do. You sell guns.",sanders,d_des_moines_2016_01_25,32.53731343283582,1,0,4,2.2525,3,0,6,0,37,4,9.25,9.12071817347735
887,"Somebody buys the gun and then goes out and kills somebody, do I think that gun shop owner should be held liable? I don't.",sanders,d_des_moines_2016_01_25,43.74999999999999,1,0,14,8.370000000000001,2,0,0,1,24,2,12.0,10.0
888,"What's the difference between selling one or selling 1,000?",cuomo,d_des_moines_2016_01_25,22.679999999999993,1,0,0,8.015,0,0,0,0,9,1,9.0,0.0
889,"No, but the point is - ah, but here's the point. If a gun shop owner should know, why should somebody be buying 1,000 guns? Somebody should be thinking that does not make a lot of sense. In that case, that gun shop owner or the gun manufacturer should be held liable, OK?",sanders,d_des_moines_2016_01_25,40.72832369942196,4,0,29,4.8475,3,0,0,3,53,4,13.25,1.920286436967152
890,"And that's the issue that I want to - now you're asking me also about mental health. When I talk about health care for all, I absolutely include in that the fact that mental health should be treated as part of health care, should be available to all people. [applause]",sanders,d_des_moines_2016_01_25,46.346715328467155,8,0,11,9.93,6,0,1,4,50,3,16.666666666666668,12.657891697365017
891,"I get calls - I have gotten calls in my office, and I'm sure other senators have as well. This is the call. Somebody calls us up and said, I'm very worried about my brother. I'm worried what he might do to himself or, to answer your question, to somebody else. He may be homicidal. He may be suicidal.",sanders,d_des_moines_2016_01_25,31.08653846153846,5,0,7,4.175,9,1,2,5,59,6,9.833333333333334,6.175669104549635
892,"We have searched desperately to find health care - mental health treatment for him. We cannot find mental health treatment which is affordable, which is accessible.",sanders,d_des_moines_2016_01_25,12.5,5,0,5,10.537499999999998,2,2,0,4,26,2,13.0,1.0
893,"In my view, we have got to move in the direction of making sure that everybody in this country who has a mental health crisis gets health care when they need it, not two months from today.",sanders,d_des_moines_2016_01_25,127.77333333333341,2,0,6,12.7225,5,1,0,3,37,1,37.0,0.0
894,"Carrie, how do you feel about the answer?",cuomo,d_des_moines_2016_01_25,8.0,1,0,5,3.0625,0,0,1,0,8,1,8.0,0.0
895,CRAWFORD: I like the answer. That's sufficient. Thank you very much.,cuomo,d_des_moines_2016_01_25,12.0,2,0,1,5.4675,1,0,1,0,11,4,2.75,1.299038105676658
896,Thank you.,sanders,d_des_moines_2016_01_25,2.0,0,0,0,-2.2275,0,0,1,0,2,1,2.0,0.0
897,"Have a seat, Senator. I'm tired following you around there. [laughter]",cuomo,d_des_moines_2016_01_25,12.0,2,0,0,6.1225,1,0,1,0,11,3,3.6666666666666665,2.0548046676563256
898,"If you followed me around today, you'd be a lot more tired. [laughter]",sanders,d_des_moines_2016_01_25,54.88000000000004,2,0,0,5.1,1,0,2,0,13,2,6.5,5.5
899,"CNN today, your brother was on.",cuomo,d_des_moines_2016_01_25,6.0,0,0,0,2.2175000000000002,0,0,2,0,6,1,6.0,0.0
900,Excuse me?,sanders,d_des_moines_2016_01_25,2.0,0,0,0,-0.7275,0,0,0,0,2,1,2.0,0.0
901,Your brother was on CNN today.,cuomo,d_des_moines_2016_01_25,6.0,0,0,0,2.0175,0,0,2,0,6,1,6.0,0.0
902,Yes.,sanders,d_des_moines_2016_01_25,1.0,0,0,0,-8.3275,0,0,0,0,1,1,1.0,0.0
903,"Gave a great interview. He said that back in the day you were a great athlete. Is that true? And if so, what was the sport? I'm not saying I don't believe it to be true. I'm saying, is it true and what was the sport?",cuomo,d_des_moines_2016_01_25,40.090909090909086,3,0,6,1.1725,10,1,1,1,46,6,7.666666666666667,3.2998316455372216
904,You know families exaggerate a little bit. I was a very good athlete. I wouldn't say I was a great athlete. I was a pretty good basketball player. My elementary school in Brooklyn won the borough championship. [laughter and applause],sanders,d_des_moines_2016_01_25,44.034000000000006,10,0,9,6.83,6,0,1,0,40,6,6.666666666666667,1.8856180831641267
905,"Hardly worth mentioning, but we did, yes. And, yes, I did take third place in the New York City indoor one mile race. OK, well, you know, I would - I was a very good long-distance runner. I would say not a great runner, but I was captain of my track team and won a number of cross-country meets and certainly won a whole lot of races.",sanders,d_des_moines_2016_01_25,57.97712230215828,3,0,8,5.6875,8,2,1,0,67,5,13.4,9.024411338142784
906,"So good, very good, not great.",sanders,d_des_moines_2016_01_25,10.080000000000004,0,0,0,0.6375,0,0,0,0,6,1,6.0,0.0
907,Right. Now this is what they call a bait and switch. I don't really care about your athletic record. [laughter],cuomo,d_des_moines_2016_01_25,21.0,2,0,4,5.27,2,0,2,1,20,4,5.0,4.06201920231798
908,"If you were elected president, you are 75 now. You would be...",cuomo,d_des_moines_2016_01_25,16.940000000000005,2,0,0,2.7025,1,1,3,0,12,2,6.0,3.0
909,Seventy-four! [laughter] [applause],sanders,d_des_moines_2016_01_25,3.0,2,0,0,19.282500000000002,0,0,0,0,3,2,1.5,0.5
910,You are 74 going on 75. You are close to 75.,cuomo,d_des_moines_2016_01_25,8.48,0,0,0,-1.715,0,0,2,0,11,2,5.5,0.5
911,I'm going on 75. So are you! You're going to be 75 some day. [laughter],sanders,d_des_moines_2016_01_25,31.50000000000001,1,0,4,-0.255,1,0,2,0,15,4,3.75,2.165063509461097
912,"That's true. That's true. You would be the oldest person elected president. You have medical records. You say you're going to release them. Should you release them, to be fair to the voters of Iowa, before they vote?",cuomo,d_des_moines_2016_01_25,20.5,6,0,3,5.3725000000000005,1,0,5,1,38,6,6.333333333333333,4.4969125210773475
913,"Absolutely. They're sitting - where are they, Jane? They're on our table right now? All right. We will release them.",sanders,d_des_moines_2016_01_25,23.361470588235296,2,0,4,5.0375000000000005,0,2,0,3,20,5,4.0,2.280350850198276
914,"That's my wife. Yes, of course, we'll release them.",sanders,d_des_moines_2016_01_25,11.0,1,0,7,1.4075,1,1,0,0,9,2,4.5,1.5
915,And you're going to do it before Iowa?,cuomo,d_des_moines_2016_01_25,9.0,0,0,3,2.0774999999999997,2,0,1,0,8,1,8.0,0.0
916,"Yes, sure.",sanders,d_des_moines_2016_01_25,2.0,0,0,0,-2.9524999999999997,0,0,0,0,2,1,2.0,0.0
917,"And, you know, I am - you know, if there's wood here, I would knock on it.",sanders,d_des_moines_2016_01_25,21.986666666666665,0,0,19,3.6575,4,0,2,2,17,1,17.0,0.0
918,My head is close enough. [laughter],cuomo,d_des_moines_2016_01_25,6.0,1,0,0,3.4175,2,0,0,1,6,2,3.0,2.0
919,I have been blessed with good health and good endurance. And there's nothing in the medical records that is going to surprise anybody. And we will get them out as soon as possible.,sanders,d_des_moines_2016_01_25,80.91999999999999,2,0,3,5.4075,3,1,0,1,33,3,11.0,1.4142135623730951
920,All right. Thank you for clarifying that.,cuomo,d_des_moines_2016_01_25,7.0,1,0,0,6.295,0,0,1,0,7,2,3.5,1.5
921,"Something else your brother said. He got emotional. He was saying, boy, would our parents be proud of the success that Bernie has had. You have to think about that as well. When you think about why you are doing this and what it means, what does it mean to you about what your parents would think if they saw you now?",cuomo,d_des_moines_2016_01_25,58.37850467289719,5,0,24,4.26,3,2,9,3,62,5,12.4,9.850888284819801
