speaker,segment,debate
GUTHRIE,"JOHN HICKENLOOPER: Well, I think that the bottom line is, if we don’t clearly define that we are not socialists, the Republicans are going to come at us every way they can and call us socialists.",Miami-FL
GUTHRIE,"And if you look at the Green New Deal, which I admire the sense of urgency and how important it is to do climate change — I'm a scientist — but we can't promise every American a government job. If we want to get universal health care coverage, I believe that health care is a right and not a privilege, but you can't expect to eliminate private insurance for 180 million people, many of whom don't want to give it up.",Miami-FL
GUTHRIE,"In Colorado, we brought businesses and nonprofits together, and we got near universal health care coverage. We were the first state in America to bring the environmental community and the oil and gas industry to address — aggressively address methane emissions. And we were also the first place to expand reproductive rights on a scale basis, and we reduced teen pregnancy by 54 percent.",Miami-FL
GUTHRIE,We’ve done the big progressive things that people said couldn’t be done. I’ve done what pretty much everyone else up here is still talking about doing.,Miami-FL
GUTHRIE,"Governor, thank you.",Miami-FL
GUTHRIE,"Senator Sanders, I'll give you a chance to . ..",Miami-FL
GUTHRIE,(APPLAUSE),Miami-FL
GUTHRIE,. . . to weigh in here. What is your response to those who say nominating a “socialist” would reelect Donald Trump?,Miami-FL
SANDERS,"Well, I think the responses that the polls — last poll I saw had us 10 points ahead of Donald Trump because the American people understand that Trump is a phony, that Trump is a pathological liar and a racist, and that he lied to the American people during his campaign.",Miami-FL
SANDERS,"He said he was going to stand up for working families. Well, President Trump, you're not standing up for working families when you try to throw 32 million people off their health care that they have and that 83 percent of your tax benefits go to the top 1 percent. That's how we beat Trump: We expose him for the fraud that he is.",Miami-FL
SANDERS,(APPLAUSE),Miami-FL
SANDERS,(CROSSTALK),Miami-FL
GUTHRIE,"Senator Gillibrand, 30 seconds.",Miami-FL
GILLIBRAND,"I disagree with both their perspectives. The debate we’re having in our party right now is confusing, because the truth is there’s a big difference between capitalism on the one hand and greed on the other. And so all the things that we’re trying to change is when companies care more about profits when they do about people.",Miami-FL
GILLIBRAND,"So if you're talking about ending gun violence, it's the greed of the NRA and the gun manufacturers that make any progress impossible. It's the greed of the insurance companies and the drug companies, when we want to try to get health care as a right and not a privilege.",Miami-FL
GUTHRIE,Senator Gillibrand . ..,Miami-FL
GUTHRIE,(CROSSTALK),Miami-FL
GILLIBRAND,"So there need not be disagreement in the party because, in truth, we want healthy capitalism.",Miami-FL
GUTHRIE,"Senator, thank you.",Miami-FL
GILLIBRAND,We don't want corrupted capitalism.,Miami-FL
GUTHRIE,Thank you. I want to be fair to all the candidates. Thank you.,Miami-FL
GUTHRIE,(APPLAUSE),Miami-FL
GUTHRIE,"Senator Bennet, you have said, quote, “It’s possible to write policy proposals that have no basis in reality. You might as well call them candy. Were you referring to any candidate or proposal in particular when you said that?",Miami-FL
BENNET,Was that directed to me?,Miami-FL
GUTHRIE,"Yes, that was your quote.",Miami-FL
BENNET,That sounded like me. Thank you.,Miami-FL
BENNET,(LAUGHTER),Miami-FL
GUTHRIE,It was you.,Miami-FL
BENNET,"I appreciate it. Well, look, first of all, I agree completely with Bernie about what the fundamental challenge we're facing as a country is, 40 years of no economic growth for 90 percent of the American people; 160,000 families in the top .1 percent have the same wealth as the bottom 90 percent; and we've got the worst income inequality that we've had in 100 years.",Miami-FL
BENNET,"Where I disagree is on his solution of Medicare-for-all. You know, I — I have proposed getting to universal health care, which we need to do. It is a right. Health care is a right. We need to get to universal health care. I believe the way to do that is by finishing the work we started with Obamacare and creating a public option that every family and every person in America can make a choice for their family about whether they want a public option, which for them would be like having Medicare-for-all, or whether they want to keep their private insurance.",Miami-FL
BENNET,I believe we will get there much more quickly if we do that.,Miami-FL
GUTHRIE,But wait . ..,Miami-FL
BENNET,Bernie . ..,Miami-FL
BENNET,(CROSSTALK),Miami-FL
BENNET,"Bernie — if I could just finish, Bernie mentioned that — the taxes that we would have to pay. Because of those taxes, Vermont rejected Medicare-for-all.",Miami-FL
GUTHRIE,Senator . ..,Miami-FL
SANDERS,Hold on.,Miami-FL
SANDERS,(CROSSTALK),Miami-FL
GILLIBRAND,"In Bernie's bill — in Bernie's bill, I wrote . ..",Miami-FL
GUTHRIE,"Senator, please, we are going to talk about health care at length, Senator, but for the moment, my colleague . ..",Miami-FL
(UNKNOWN),Thank you very much.,Miami-FL
GUTHRIE,. . . wants to continue the questions on the economy.,Miami-FL
GILLIBRAND,"I wrote the part in Senator Sanders' bill — I wrote the part in Senator Sanders' bill that is the transition, which merges what the two senators said.",Miami-FL
(UNKNOWN),Senator . ..,Miami-FL
GILLIBRAND,"Because the truth is, if you have a buy-in, over a four or five-year period, you move us to single-payer more quickly.",Miami-FL
DIAZ-BALART,"Senator, we will get to this.",Miami-FL
DIAZ-BALART,(APPLAUSE),Miami-FL
DIAZ-BALART,We will get to this.,Miami-FL
SANDERS,I just . ..,Miami-FL
DIAZ-BALART,"Before we do, I want to say hello and good evening, Buenas Noches, to Mayor Pete Buttigieg.",Miami-FL
BUTTIGIEG,Buenas Noches. Gracias (UNTRANSLATED).,Miami-FL
DIAZ-BALART,(UNTRANSLATED).,Miami-FL
DIAZ-BALART,Many of your colleagues onstage support free college. You do not. Why not?,Miami-FL
BUTTIGIEG,"Sure. So college affordability is personal for us. Chasten and I have six-figure student debt. I believe in reducing student debt. It's logical to me that, if you can refinance your house, you ought to be able to refinance your student debt. I also believe in free college for low and middle-income students for whom cost could be a barrier.",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
BUTTIGIEG,"I just don’t believe it makes sense to ask working-class families to subsidize even the children of billionaires. I think the children of the wealthiest Americans can pay at least a little bit of tuition. And while I want tuition costs to go down, I don’t think we can buy down every last penny for them.",Miami-FL
BUTTIGIEG,"Now, there's something else that doesn't get talked about in the college affordability debate. Yes, it needs to be more affordable in this country to go to college. It also needs to be more affordable in this country to not go to college. You should be able to live well, afford rent, be generous . ..",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
BUTTIGIEG,". . . to your church and Little League, whether you went to college or not.",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
YANG,"Jose, I’ve got $100,000 in student loan debt myself.",Miami-FL
DIAZ-BALART,Let me get to you in . ..,Miami-FL
SWALWELL,"You can’t count on the people who have been in government for the last 30 years, who were around when this problem was created, to be the ones to solve it. It’s going to be the next generation, the 40 million of us who can’t start a family, can’t take a good idea and start a business and can’t buy our first home. This is the generation that’s going to be able to solve student loan debt. This generation is ready to lead.",Miami-FL
DIAZ-BALART,"Mr. Yang, your — your signature policy is to give every adult in the United States $1,000 a month, no questions asked.",Miami-FL
YANG,That's right.,Miami-FL
DIAZ-BALART,I think that’s like $3.2 trillion a year. How would do you that?,Miami-FL
YANG,I'm sorry?,Miami-FL
DIAZ-BALART,How would you do that.,Miami-FL
YANG,"Oh, so it's difficult to do if you have companies like Amazon, trillion-dollar tech companies, paying literally zero in taxes while they're closing 30 percent of our stores.",Miami-FL
YANG,"Now, we need to put the American people in position to benefit from all these innovations in other parts of the economy. And if we had a value-added tax at even half the European level, it would generate over $800 billion in new revenue, which combined with the money in our hands, it would be the trickle-up economy, from our people, families and communities up. We would spend the money and it would circulate through our regional economies and neighborhoods, creating millions of jobs, making our families stronger and healthier.",Miami-FL
YANG,"We'd save money on things like incarceration, homelessness services, emergency room health care, and just the value gains from having a stronger, healthier, mentally healthier population would increase GDP by $700 billion.",Miami-FL
YANG,"This is the move that we have to make, particularly as technology is now automating away millions of American jobs, it's why Donald Trump is our president today that we automated away 4 million manufacturing jobs in Michigan, Ohio, Pennsylvania, and Wisconsin, and we are about to do the same thing to millions of retail jobs, call center jobs, fast food jobs, truck-driving jobs and other jobs through the economy.",Miami-FL
DIAZ-BALART,"So, Mr. Yang, if I get to understand a little bit better, Sir, you are saying $1,000 a month for everyone over 18, but a value-added tax so you can spend that $1,000 on value-added tax?",Miami-FL
YANG,"Well, the value-added tax would end up — you still would be increasing the buying power of the bottom 94 percent of Americans. You have to spend a lot of money for a mild value-added tax to eat up $12,000 a year per individual. So for the average family with two or three adults, it would be $24-36,000 a year.",Miami-FL
DIAZ-BALART,"okay. Congressman Swalwell, I want to talk a little bit about what Mr. Yang is talking about, and you just actually mentioned, that many Americans are worried about things like self-driving cars, robots, drones, artificial intelligence will cost them their jobs. What would you do to help people get the skills they need to adapt to this new world?",Miami-FL
SWALWELL,"We must always be a county where technology creates more jobs than it displaces. And I have seen the anxiety across America where the manufacturing floors go from 1,000 to 100 to one. So we have to modernize our schools, value the teachers who prepare our kids, wipe the student debt from any teacher that goes into a community that needs it, invest in America's communities especially where places where the best exports are people who move away to get skills.",Miami-FL
SWALWELL,"But, Jose, I was 6 years old when a presidential candidate came to the California Democratic Convention and said it's time to pass the torch to a new generation of Americans. That candidate was then-Senator Joe Biden. Joe Biden was right when he said it was time to pass the torch to a new generation of Americans 32 years ago. He is still right today.",Miami-FL
SWALWELL,(APPLAUSE),Miami-FL
SWALWELL,"If we are going to solve the issues of automation, pass the torch. If we are going to solve the issues of climate chaos, pass the torch. If we're going to solve the issue of student loan debt, pass the torch. If we're going to end gun violence for families who are fearful of sending their kids to school, pass the torch.",Miami-FL
DIAZ-BALART,"Vice President, would you like to sing a torch song?",Miami-FL
DIAZ-BALART,(LAUGHTER),Miami-FL
BIDEN,"I would. I'm still holding on to that torch. I want to make it clear to you, look, the fact of the matter is what we have to do is make sure that everybody is prepared better to go on to educate — for an education. The fact is that that's why I propose us focusing on schools that are in distress.",Miami-FL
BIDEN,"That's why I think we should triple the amount of money we spend for Title I schools. That's why I think we should have universal pre-K. That's why I think every single person who graduates from high school, 65 out of 100 now need something beyond high school and we should provide for them to be able to get that education.",Miami-FL
BIDEN,"That's why there should be free community college, cutting in half the cost of college. That's why we should be in a position where we do not have anyone have to pay back a student debt when they get out if they are making less than $25,000 a year. Their debt is frozen, no interest payment until they get beyond that.",Miami-FL
BIDEN,"We can't put people in a position where they aren't able to go on and move on. And so, folks, there is a lot we can do, but we have to make continuing education available for everyone so that everyone can compete in the 21st Century. We are not doing that now.",Miami-FL
BIDEN,(CROSSTALK),Miami-FL
BUTTIGIEG,"As the youngest guy on the stage, I feel like I probably ought to contribute to the generational . ..",Miami-FL
SANDERS,"As part of Joe's generation, let me respond.",Miami-FL
SANDERS,(CROSSTALK),Miami-FL
GILLIBRAND,Before we move on from education . ..,Miami-FL
GILLIBRAND,(CROSSTALK),Miami-FL
DIAZ-BALART,"Please, please. Senator Sanders. And then I’ll let . ..",Miami-FL
SANDERS,"It's not generational. The issue is, who has the guts to take on Wall Street, to take on the fossil fuel industry, to take on the big money interests who have unbelievable influence over the economic and political life of this country?",Miami-FL
SANDERS,(CROSSTALK),Miami-FL
DIAZ-BALART,"Senator Harris — Senator Harris, I'm so sorry. We will allow all of you to speak. Senator Harris.",Miami-FL
DIAZ-BALART,(CROSSTALK),Miami-FL
DIAZ-BALART,"Senator Harris — please, we will let you all speak. Senator Harris.",Miami-FL
DIAZ-BALART,(CROSSTALK),Miami-FL
HARRIS,"Hey, guys, you know what? America does not want to witness a food fight, they want to know how we are going to put food on their table.",Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,"So on that point, part of the issue that is at play in America today, and we have all been traveling around the country, I certainly have, I'm meeting people who are working two and three jobs. You know, this president walks around talking about and flouting his great economy, right, my great economy, my great economy.",Miami-FL
HARRIS,"You ask him, well, how are you measuring this greatness of this economy of yours? And he talks about the stock market. Well, that's fine if you own stocks. So many families in America do not. You ask him, how are you measuring the greatness of this economy of yours? And they point to the jobless numbers and the unemployment numbers.",Miami-FL
HARRIS,"Well, yeah, people in America are working. They're working two and three jobs.",Miami-FL
HARRIS,"So when we talk about jobs, let’s be really clear. In our America, no one should have to work more than one job to have a roof over their head and food on the table.",Miami-FL
HARRIS,(APPLAUSE),Miami-FL
DIAZ-BALART,"Thank you very much, Senator.",Miami-FL
DIAZ-BALART,(CROSSTALK),Miami-FL
HOLT,"Yes, you have all — you've all expressed an interest in talking about health care. So let's talk about health care.",Miami-FL
(UNKNOWN),"I'd like to say something, if I might.",Miami-FL
HOLT,"And this is going to be a show of hands question. We asked a question about health care last night that spurred a lot of discussion, as you know. We're going to do it again now. Many people watching at home have health insurance through their employer. Who here would abolish their private health insurance in favorite of a government-run plan?",Miami-FL
HOLT,All right.,Miami-FL
HOLT,(APPLAUSE),Miami-FL
HOLT,"Kristin Gillibrand, Senator Gillibrand?",Miami-FL
GILLIBRAND,"Yeah, so now it's my turn.",Miami-FL
BENNET,Good.,Miami-FL
GILLIBRAND,"So this is a very important issue. So the plan that Senator Sanders and I and others support, Medicare-for-all, is how you get to single payer. But it has a buy-in transition period, which is really important.",Miami-FL
GILLIBRAND,"In 2005, when I ran for Congress in a 2-to-1 Republican district, I actually ran on Medicare-for-all, and I won that 2-to-1 Republican district twice. And the way I formulated it was simple. Anyone who doesn't have access to insurance they like, they could buy it at a percentage of income they could afford.",Miami-FL
GILLIBRAND,"So that's what we put in to the transition period for our Medicare-for-all plan. I believe we need to get to universal health care as a right and not a privilege to single payer. The quickest way you get there is you create competition with the insurers. God bless the insurers, if they want to compete, they can certainly try, but they've never put people over their profits, and I doubt they ever will.",Miami-FL
GILLIBRAND,"So what will happen is people will choose Medicare, you will transition, we will get to Medicare-for-all, and then your step to single-payer is so short, I would make it an earned benefit, just like Social Security, so that you buy in your whole life, it is always there for you, and it's permanent and it's universal.",Miami-FL
HOLT,"Senator, your time is up. I want to put that same question to Mayor Buttigieg.",Miami-FL
BUTTIGIEG,"Yeah, we've talked — look, everybody who says Medicare-for-all, every person in politics who allows that phrase to escape their lips has a responsibility to explain how you're actually supposed to get from here to there.",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
BUTTIGIEG,"Now, here's how I would do it. It's very similar. I would call it Medicare-for-all who want it. You take something like Medicare, a flavor of that, you make it available on the exchanges, people can buy in. And then if people like us are right, that that will be not only a more inclusive plan, but a more efficient plan than any of the corporate answers out there, then it will be a very natural glide path to the single-payer environment.",Miami-FL
BUTTIGIEG,"But let's remember, even in countries that have outright socialized medicine, like England, even there, there's still a private sector. That's fine. It's just that for our primary care, we can't be relying on the tender mercies of the corporate system.",Miami-FL
BUTTIGIEG,"This one is very personal for me. I started out this year dealing with the terminal illness of my father. I make decisions for a living, and nothing could have prepared me for the kind of decisions our family faced.",Miami-FL
BUTTIGIEG,"But the thing we had going for us was that we never had to make those decisions based on whether it was going to bankrupt our family, because of Medicare. And I want every family to have that same freedom to do what is medically right, not live in financial fear.",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
HOLT,"Your time is complete. Vice President Biden, I want to put the question to you. You were an architect — one of the architects of Obamacare. So where do we go from here?",Miami-FL
BIDEN,"Well, look, this is very personal to me. When my wife and daughter were killed in an automobile accident, my two boys were very, very badly injured. I couldn't imagine what it would be like if I'd not had adequate health care available to me.",Miami-FL
BIDEN,"And then, when my son came home from Iraq after a year, he was diagnosed with terminal cancer, and he was given months to live. I can't fathom what would have happened if, in fact, they said, by the way, the last six months of your life, you're on your own. We're cutting off. You've used up your time.",Miami-FL
BIDEN,"The fact of the matter is that the quickest, fastest way to do it is build on Obamacare, to build on what we did.",Miami-FL
BIDEN,(APPLAUSE),Miami-FL
BIDEN,"And, secondly — secondly, to make sure that everyone does have an option. Everyone, whether they have private insurance or employer insurance and no insurance, they, in fact, can buy in, in the exchange to a Medicare-like plan. And the way to do that — we can do it quickly.",Miami-FL
BIDEN,"Look, urgency matters. There's people right now facing what I faced, and what we faced, without any of the help I had. We must move now. I'm against any Democrat who opposes . ..",Miami-FL
HOLT,Vice president Biden . ..,Miami-FL
BIDEN,. . . and takes down Obamacare and any Republican who wants to get rid of Obamacare.,Miami-FL
BIDEN,(APPLAUSE),Miami-FL
HOLT,"Let me turn to Senator Sanders. Senator Sanders, you have basically — you basically want to scrap the private health insurance system as we know it and replace it with a government-run plan. None of the states that have tried something like that, California, Vermont, New York has struggled with it, have been successful. If politicians can’t make it in those states, how would you implement it on a national level? How does this work?",Miami-FL
SANDERS,"Lester, I find it hard to believe that every other major country on Earth, including my neighbor 50 miles north of me, Canada, somehow has figured out a way to provide health care to every man, woman, and child, and in most cases, they’re spending 50 percent per capita what we are spending.",Miami-FL
SANDERS,(APPLAUSE),Miami-FL
SANDERS,Let's be clear. Let us be very clear. The function of health care today from the insurance and drug company perspective is not to provide quality care to all in a cost-effective way. The function of the health care system today is to make billions in profits for the insurance companies.,Miami-FL
SANDERS,"And last year, if you can believe it, while we pay the highest prices in the world for prescription drugs — and I will lower prescription drugs prices in half in this country — top 10 companies made $69 billion in profit. They will spend hundreds of millions of dollars lying to the American people, telling us why we cannot have a Medicare-for-all single-payer program.",Miami-FL
HOLT,"Senator, Senator, I just have — I just have to follow up there. How do you implement it on a national level?",Miami-FL
HOLT,(APPLAUSE),Miami-FL
SANDERS,I'm sorry?,Miami-FL
HOLT,How do you implement it on a national level?,Miami-FL
SANDERS,okay.,Miami-FL
HOLT,Given the fact that it’s not succeeded and other states have tried?,Miami-FL
SANDERS,"I will tell you how we'll do it. We'll do it the way real change has always taken place, whether it was the labor movement, the civil rights movement, or the women's movement. We will have Medicare-for-all when tens of millions of people are prepared to stand up and tell the insurance companies and the drug companies that their day is gone, that health care is a human right, not something to make huge profits off of.",Miami-FL
HOLT,Thank you.,Miami-FL
HOLT,"All right, Ms. Williamson . ..",Miami-FL
HOLT,(APPLAUSE),Miami-FL
HOLT,"Ms. Williamson, this is a question for you.",Miami-FL
HOLT,(CROSSTALK),Miami-FL
HOLT,"Excuse me. Excuse me. I'm addressing the question to Ms. Williamson. We've been talking a lot about access to health insurance. But for many Americans, their most pressing concern is the high cost of health care. How would you lower the cost of prescription drugs?",Miami-FL
WILLIAMSON,"Well, first of all, the government should never have made the deal with big pharma that they couldn't negotiate. That was just part of the regular corruption by which multinational corporations have their way with us.",Miami-FL
WILLIAMSON,"You know, I want to say that while I agree with — and I’m with Senator Bennet and others, but I agree with almost everything here — I’ll tell you one thing, it’s really nice if we’ve got all these plans, but if you think we’re going to beat Donald Trump by just having all these plans, you’ve got another thing coming, because he didn’t win by saying he had a plan. He won by simply saying make America great again.",Miami-FL
WILLIAMSON,"We’ve got to get deeper than just these superficial fixes, as important as they are. Even if we’re just talking about the superficial fixes, ladies and gentlemen, we don’t have a health care system in the United States. We have a sickness care system in the United States. We just wait until somebody gets sick, and then we talk about who’s going pay for the treatment and how they’re going to be treated.",Miami-FL
WILLIAMSON,(APPLAUSE),Miami-FL
WILLIAMSON,"What we need to talk about is why so many Americans have unnecessary chronic illnesses, so many more compared to other countries. And that gets back into not just the health — the big pharma, not just health insurance companies, it has to do with chemical policies, it has to do with environmental policies . ..",Miami-FL
HOLT,"All right, Ms. Williamson, your time is expired.",Miami-FL
WILLIAMSON,It has to do with food policies.,Miami-FL
WILLIAMSON,(APPLAUSE),Miami-FL
WILLIAMSON,It has to do with drug policies. It has to do with environment policies.,Miami-FL
HOLT,"Senator Bennet, a question for you. You want to keep the system that we have in place with Obamacare and build on it. You mentioned that a moment ago. Is that enough to get us to universal coverage?",Miami-FL
BENNET,"I believe that will get us the quickest way there. And I thought the vice president was very moving about this and Mayor Pete, as well.",Miami-FL
BENNET,"I had prostate cancer recently, as you may know, and it's why I was a little late getting in the race. The same week, my kid had her appendectomy. And I feel very strongly that families ought to be able to have this choice. I think that's what the American people want.",Miami-FL
BENNET,I believe it will get us there quickly. There are millions of people in America that do not have health insurance today because they can't. They're too wealthy. Wealthy? They make too much money to be on Medicaid. They can't afford health insurance.,Miami-FL
BENNET,"When Senator Sanders says that Canada is single payer, there are 35 million people in Canada. There are 330 million people in the United States, easily the number of people on a public option that — it could easily be 35 million. And for them, it would be Medicare-for-all, as Mayor Buttigieg says. But for others that want to keep it, they should be able to keep it. And I think that will be the fastest way to get where we need to go.",Miami-FL
BENNET,(CROSSTALK),Miami-FL
BENNET,"Also, I will say — Bernie is a very honest person. He has said over and over again, unlike others that have supported this legislation, over and over again, that this will ban, make illegal all insurance except cosmetic, except insurance for — I guess that's for plastic surgery. Everything else is banned under the Medicare-for-all proposal . ..",Miami-FL
HOLT,"Let's go a little longer, but . ..",Miami-FL
HARRIS,I'd like to add a point here.,Miami-FL
HOLT,"But I want — but obviously, Senator Sanders, you get a response.",Miami-FL
HARRIS,I'd like to add a point here.,Miami-FL
HOLT,"Senator Sanders, just respond to that.",Miami-FL
SANDERS,"Just very briefly, you know, Mike, Medicare is the most popular . ..",Miami-FL
BENNET,I agree.,Miami-FL
SANDERS,". . . health insurance program in the country. People don't like their private insurance companies. They like their doctors and hospitals. Under our plan people go to go to any doctor they want, any hospital they want. We will substantially lower the cost of health care in this country because we'll stop the greed of the insurance companies.",Miami-FL
SANDERS,(CROSSTALK),Miami-FL
HARRIS,. . . on this issue we have to think about how this affects real people.,Miami-FL
HARRIS,(CROSSTALK),Miami-FL
HOLT,Senator Harris.,Miami-FL
HARRIS,And the reality of how this affects real people is captured in a story that many of us heard and I will paraphrase.,Miami-FL
HARRIS,"There is, any night in America, a parent who has seen that their child has a temperature that is out of control, calls 911, what should I do? And they say, take the child to the Emergency Room. And so they get in their car and they drive and they are sitting in the parking lot outside of the Emergency Room looking at those sliding glass doors while they have the hand on the forehead of their child, knowing that if they walk through those sliding glass doors, even though they have insurance, they will be out a 5,000 deductible, $5,000 deductible when they walk through those doors.",Miami-FL
HARRIS,That's what insurance companies are doing in America today.,Miami-FL
HARRIS,(APPLAUSE),Miami-FL
GUTHRIE,We are going to continue this discussion. I wanted to . ..,Miami-FL
GUTHRIE,(CROSSTALK),Miami-FL
GUTHRIE,"Candidates, please. Candidates, please.",Miami-FL
SWALWELL,I'm one of those parents. I was just in the emergency room. And I'm telling you . ..,Miami-FL
(UNKNOWN),"Congressman, thank you.",Miami-FL
SWALWELL,. . . we fight health insurance companies every single week.,Miami-FL
(UNKNOWN),Thank you.,Miami-FL
SWALWELL,"We stand in line and pay expensive prescription drugs. We have to have a health care guarantee. If you are sick, you're seen. And in America, you never go broke because of it.",Miami-FL
GUTHRIE,"okay. A lot of you have been talking tonight about these government health care plans that you have proposed in one form or another. This is a show of hands question, and hold them up for a moment so people can see. Raise your hand if your",Miami-FL
GUTHRIE,government plan would provide coverage for undocumented immigrants.,Miami-FL
GUTHRIE,(APPLAUSE),Miami-FL
GUTHRIE,"okay. Let me start with you, Mayor Buttigieg, why? Mayor Buttigieg, why?",Miami-FL
BUTTIGIEG,"Because our country is healthier when everybody is healthier. And, remember, we are talking about something people are given a chance to buy into, in the same way that there are undocumented immigrants in my community who pay, they pay sales taxes, they pay property taxes, directly or indirectly.",Miami-FL
BUTTIGIEG,This is not about a handout. This is an insurance program. And we do ourselves no favors by having 11 million undocumented people in our country be unable to access health care.,Miami-FL
BUTTIGIEG,"But, of course, the real problem is we shouldn't have 11 million undocumented people with no pathway to citizenship. It makes no sense. And the American people . ..",Miami-FL
BUTTIGIEG,(APPLAUSE),Miami-FL
BUTTIGIEG,"The American people agree on what to do. This is a crazy thing. If leadership consists of forming a consensus around a divisive issue, this White House has divided us around a consensus issue. The American people want a pathway to citizenship, they want protections for ""dreamers"". We need to clean up the lawful immigration system, like how my father immigrated to this country.",Miami-FL
BUTTIGIEG,"And as part of a compromise, we can do whatever common-sense measures are needed at the border, but Washington can’t deliver on something the American people want. What does that tell you about the system we are living in? It tells you it needs profound structural reform.",Miami-FL
GUTHRIE,"Mayor, thank you.",Miami-FL
GUTHRIE,(APPLAUSE),Miami-FL
GUTHRIE,"Vice President Biden, I believe you said that your health care plan would not cover undocumented immigrants. Could you explain your position?",Miami-FL
BIDEN,"I'm sorry, I beg your pardon?",Miami-FL
GUTHRIE,I believe at the show of hands you did not raise your hand. Did you raise your hand?,Miami-FL
BIDEN,"No, I did.",Miami-FL
GUTHRIE,"okay. Sorry, sorry. So you said that they would be covered under your plan, which is different than Obamacare.",Miami-FL
BIDEN,Yes. But here's the thing . ..,Miami-FL
GUTHRIE,Can you explain that change?,Miami-FL
BIDEN,"Yes. You cannot let, as the mayor said, you cannot let people who are sick, no matter where they come from, no matter what their status, go uncovered. You can't do that. It's just going to be taken care of, period. You have to. It's the humane thing to do.",Miami-FL
BIDEN,"But here's the deal, the deal is that he's right about three things. Number one, they in fact contribute to the well-being of the country but they also, for example, they've increased the life span of Social Security because they have a job, they're paying a Social Security tax. That's what they're doing. It has increased the life span.",Miami-FL
BIDEN,They would do the same thing in terms of reducing the overall cost of health care by them being able to be treated and not wait until they are in extremis.,Miami-FL
BIDEN,"The other thing is, folks, look, we can deal with these insurance companies. We can deal with the insurance companies by, number one, putting insurance executives in jail for their misleading advertising, what they're doing on opioids, what they're doing paying doctors to prescribe.",Miami-FL
BIDEN,We could be doing this by making sure everyone who is on Medicare that the government should be able to negotiate the price for whatever the drug costs are. We can do this by making sure that we're in a position that we in fact allow people. Time's up?,Miami-FL
BIDEN,(CROSSTALK),Miami-FL
HOLT,"Hold off a minute, we need to take a short break here. We have a lot more we need to talk to all of you about. So stick with us. We're just getting started. We'll be back with more from Miami right after this.",Miami-FL
HOLT,(APPLAUSE),Miami-FL
HOLT,(COMMERCIAL BREAK),Miami-FL
HOLT,(APPLAUSE),Miami-FL
HOLT,Welcome back from Miami.,Miami-FL
HOLT,(APPLAUSE),Miami-FL
HOLT,Jose is going to lead off the questioning in this round.,Miami-FL
DIAZ-BALART,Thank you very much.,Miami-FL
DIAZ-BALART,"Senator Harris, last month more than 130,000 migrants were apprehended at the southern border. Many of them are being detained, including small children, in private detention centers in Florida and throughout our country. Most of the candidates on this stage say the conditions at these facilities are abhorrent.",Miami-FL
DIAZ-BALART,"On January 20th, 2021, if you are president, what specifically would you do with the thousands of people who try to reach the United States every day and want a better life through asylum?",Miami-FL
HARRIS,"Immediately on January 20th of 2021, I will, first of all — we cannot forget our DACA recipients, and so I'm going to start there. I will immediately, by executive action, reinstate DACA status and DACA protection to those young people.",Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,"I will further extend protection for deferral of deportation for their parents and for veterans, who we have so many who are undocumented and have served our country and fought for our democracy.",Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,I will also immediately put in place a meaningful process for reviewing the cases for asylum. I will release children from cages. I will get rid . ..,Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,. . . of the private detention centers.,Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,And I will ensure that this microphone that the president of the United States holds in her hand is used in a way . ..,Miami-FL
HARRIS,(APPLAUSE),Miami-FL
HARRIS,". . . that is about reflecting the values of our country and not about locking children up, separating them from their parents. And I have to just say that we have to think about this issue in terms of real people. A mother who pays a coyote to transport her child through their country of origin, through the entire country of Mexico, facing unknown peril, to come here — why would that mother do that?",Miami-FL
HARRIS,I will tell you. Because she has decided for that child to remain where they are is worse.,Miami-FL
HARRIS,"But what does Donald Trump do? He says, “Go back to where you came from."" ",Miami-FL
HARRIS,"That is not reflective of our America and our values, and it's got to end.",Miami-FL
HARRIS,(APPLAUSE),Miami-FL
DIAZ-BALART,Governor Hickenlooper . ..,Miami-FL
DIAZ-BALART,(APPLAUSE),Miami-FL
DIAZ-BALART,Governor Hickenlooper . ..,Miami-FL
DIAZ-BALART,(APPLAUSE),Miami-FL
DIAZ-BALART,"Governor Hickenlooper, day one, if you are . ..",Miami-FL
WILLIAMSON,"Another thing, I . ..",Miami-FL
DIAZ-BALART,"Day one, at the White House, how do you respond?",Miami-FL
WILLIAMSON,. . . deal with these — with these children?,Miami-FL
DIAZ-BALART,I — let me get to you in just a second.,Miami-FL
WILLIAMSON,I'm sorry.,Miami-FL
DIAZ-BALART,"Governor, day one, thousands of men, women and children cross the border, asking for asylum, for a better life. What do you do?",Miami-FL
DIAZ-BALART,"One — day one, hour one?",Miami-FL
