,segment,speaker,debate,segment_length,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3
808,"You know, I was a senator from New York after 9/11, and we spent countless hours trying to figure out how to protect the city and the state from perhaps additional attacks. One of the best things that was done, and George W. Bush did this and I give him credit, was to reach out to Muslim Americans and say, we're in this together. You are not our adversary, you are our partner.
",clinton,manchester_2015_12_19,380,56.58601886792454,9,0,0,7.555,3,4,3,1
809,"And we also need to make sure that the really discriminatory messages that Trump is sending around the world don't fall on receptive ears. He is becoming ISIS's best recruiter. They are going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists. So I want to explain why this is not in America's interest to react with this kind of fear and respond to this sort of bigotry.
",clinton,manchester_2015_12_19,433,99.55555555555559,18,2,9,9.8875,10,1,0,2
810,"MUIR: Secretary, thank you.
",clinton,manchester_2015_12_19,28,4.0,1,0,2,8.5,0,0,1,0
811,"Senator Sanders, I did want to ask you about a neighbor in San Bernardino who reportedly witnessed packages being delivered to that couple's home, that it set off red flags, but they didn't report it because they were afraid to profile. What would you say to Americans afraid to profile? Is it ever acceptable?
",clinton,manchester_2015_12_19,311,79.82545454545456,10,0,8,9.57,6,1,2,2
812,"Well, the answer is, obviously, if you see suspicious activity, you report it. That's kind of a no-brainer. You know, somebody is loading guns and ammunition into a house, I think it's a good idea to call 911. Do it. [laughter]
",sanders,manchester_2015_12_19,228,61.74000000000001,7,0,29,6.284999999999999,9,1,3,0
813,"MUIR: But I'm asking about -- I'm asking about profiling. Because a lot of people are afraid of that.
",sanders,manchester_2015_12_19,102,18.749019607843138,2,0,8,5.2725,2,0,0,0
814,"But I want to talk -- I want to talk about something else, because Secretary Clinton I think made some interesting and good points. What you have now is a very dangerous moment in American history.
",sanders,manchester_2015_12_19,198,51.79999999999999,2,0,7,8.73,6,0,1,1
815,"The secretary is right: Our people are fearful. They are anxious on a number of levels. They are anxious about international terrorism and the possibility of another attack on America. We all understand that.
",sanders,manchester_2015_12_19,209,46.239999999999995,7,0,2,8.2325,2,2,0,2
816,"But you know what else they're anxious about? They're anxious about the fact that they are working incredibly long hours, they're worried about their kids, and they're seeing all the new income and wealth -- virtually all of it -- going to the top 1 percent. And they're looking around them, and they're looking at Washington, and they're saying the rich are getting much richer, I'm getting poorer, what are you going to do about it? What are you going to do for my kids?
",sanders,manchester_2015_12_19,473,30.0,11,0,8,9.2575,6,1,3,9
817,"And somebody like a Trump comes along and says, ""I know the answers. The answer is that all of the Mexicans, they're criminals and rapists, we've got to hate the Mexicans. Those are your enemies. We hate all the Muslims, because all of the Muslims are terrorists. We've got to hate the Muslims."" Meanwhile, the rich get richer.
",sanders,manchester_2015_12_19,328,39.05811571940605,8,1,29,5.575,2,3,2,1
818,"So what I say to those people who go to Donald Trump's rallies, understand: He thinks a low minimum wage in America is a good idea. He thinks low wages are a good idea.
",sanders,manchester_2015_12_19,169,35.7440693430657,3,1,16,6.2575,5,0,0,2
819,"I believe we stand together to address the real issues facing this country, not allow them to divide us by race or where we come from. Let's create an America that works for all of us, not the handful on top. [applause]
",sanders,manchester_2015_12_19,220,103.54400000000003,3,0,1,8.275,2,2,0,0
820,"MUIR: Senator, thank you.
",sanders,manchester_2015_12_19,26,4.0,1,0,4,7.199999999999999,0,0,1,0
821,"I want to move to another...
",raddatz,manchester_2015_12_19,29,10.080000000000004,0,0,1,1.0899999999999999,1,0,0,0
822,"Martha, may I -- Martha, may I... [crosstalk]
",o'malley,manchester_2015_12_19,46,7.0,0,0,0,4.035,2,0,0,0
823,"No, no, not yet, Governor O'Malley.
",raddatz,manchester_2015_12_19,36,10.36,2,0,0,8.1775,0,0,0,0
824,"Can I share this quick story?
",o'malley,manchester_2015_12_19,30,6.0,0,0,2,1.7175000000000002,1,0,0,0
825,"No, not yet, Governor O'Malley.
",raddatz,manchester_2015_12_19,32,6.0,2,0,0,9.78,0,0,0,0
826,"Oh. All right.
",o'malley,manchester_2015_12_19,15,3.0,0,0,0,-1.3225,0,0,0,0
827,"I'll come to you when we call on you. Thank you very much.
",raddatz,manchester_2015_12_19,59,27.439999999999994,0,0,2,-0.16249999999999998,1,1,3,0
828,"When you come back to me, I'll share that story.
",o'malley,manchester_2015_12_19,49,11.0,0,0,9,2.5999999999999996,1,0,1,0
829,"You'll be happy. I'll let -- I'll let you talk then.
",raddatz,manchester_2015_12_19,53,13.0,0,0,4,0.7375,2,0,2,0
830,"Secretary Clinton, I want to talk about a new terrorist tool used in the Paris attacks, encryption. FBI Director James Comey says terrorists can hold secret communications which law enforcement cannot get to, even with a court order.
",raddatz,manchester_2015_12_19,234,202.15999999999983,9,0,8,12.544999999999998,2,0,0,0
831,"You've talked a lot about bringing tech leaders and government officials together, but Apple CEO Tim Cook said removing encryption tools from our products altogether would only hurt law-abiding citizens who rely on us to protect their data. So would you force him to give law enforcement a key to encrypted technology by making it law?
",raddatz,manchester_2015_12_19,336,151.62000000000003,14,0,5,14.73,1,1,2,2
832,"I would not want to go to that point. I would hope that, given the extraordinary capacities that the tech community has and the legitimate needs and questions from law enforcement, that there could be a Manhattan-like project, something that would bring the government and the tech communities together to see they're not adversaries, they've got to be partners.
",clinton,manchester_2015_12_19,363,46.61320754716981,10,0,57,15.237499999999999,2,0,0,2
833,"It doesn't do anybody any good if terrorists can move toward encrypted communication that no law enforcement agency can break into before or after. There must be some way. I don't know enough about the technology, Martha, to be able to say what it is, but I have a lot of confidence in our tech experts.
",clinton,manchester_2015_12_19,304,156.9866666666667,8,0,3,9.1325,8,1,0,0
834,"And maybe the back door is the wrong door, and I understand what Apple and others are saying about that. But I also understand, when a law enforcement official charged with the responsibility of preventing attacks -- to go back to our early questions, how do we prevent attacks -- well, if we can't know what someone is planning, we are going to have to rely on the neighbor or, you know, the member of the mosque or the teacher, somebody to see something.
",clinton,manchester_2015_12_19,457,63.56711758584808,11,0,28,16.189999999999998,5,5,1,0
835,"I just think there's got to be a way, and I would hope that our tech companies would work with government to figure that out. Otherwise, law enforcement is blind -- blind before, blind during, and, unfortunately, in many instances, blind after.
",clinton,manchester_2015_12_19,245,61.74000000000001,4,0,2,10.547500000000001,5,1,0,0
836,"So we always have to balance liberty and security, privacy and safety, but I know that law enforcement needs the tools to keep us safe. And that's what I hope, there can be some understanding and cooperation to achieve.
",clinton,manchester_2015_12_19,220,63.999999999999986,6,0,0,10.4525,2,1,0,0
837,"And Governor O'Malley, where do you draw the line between national security and personal security?
",raddatz,manchester_2015_12_19,99,35.84,5,0,0,14.969999999999999,0,0,1,0
838,"I believe that we should never give up our privacy; never should give up our freedoms in exchange for a promise of security. We need to figure this out together. We need a collaborative approach. We need new leadership.
",o'malley,manchester_2015_12_19,220,30.875,6,0,16,6.7225,2,6,0,0
839,"The way that things work in the modern era is actually to gather people around the table and figure these things out. The federal government should have to get warrants. That's not some sort of passé you know, antique sort of principle that safeguards our freedoms.
",o'malley,manchester_2015_12_19,266,68.72444444444443,8,0,0,8.455000000000002,2,1,1,0
840,"But at the same time with new technologies I believe that the people creating these projects -- I mean these products also have an obligation to come together with law enforcement to figure these things out; true to our American principles and values.
",o'malley,manchester_2015_12_19,252,70.56000000000003,7,0,9,18.7975,2,1,0,0
841,"My friend Kashif, who is a doctor in Maryland; back to this issue of our danger as a democracy of turning against ourselves. He was putting his 10 and 12-year-old boys to bed the other night. And he is a proud American Muslim. And one of his little boys said to him, ""Dad, what happens if Donald Trump wins and we have to move out of our homes?"" These are very, very real issues. this is a clear and present danger in our politics within.
",o'malley,manchester_2015_12_19,439,84.0,10,1,8,6.34,9,7,0,5
842,"We need to speak to what unites us as a people; freedom of worship, freedom of religion, freedom of expression. And we should never be convinced to give up those freedoms in exchange for a promise of greater security; especially from someone as untried and as incompetent as Donald Trump.
",o'malley,manchester_2015_12_19,289,53.846153846153854,10,1,1,12.44,2,2,0,0
843,"Thank you, Governor O'Malley.
",raddatz,manchester_2015_12_19,30,5.0,2,0,0,13.8,0,0,1,0
844,"MUIR: Martha, we're going to turn now to refugees coming to America. And on the subject of refugees, more than half of all Americans now say they oppose taking in refugees from Syria and across the Middle East.
",raddatz,manchester_2015_12_19,211,53.23499999999999,3,0,18,8.4525,1,1,0,1
845,"Secretary Clinton, you have said that it would undermine who we are as Americans, shutting our doors. But New Hampshire's governor, where we are right here tonight, a democrat and a supporter of yours, is among more than 30 governors who are now concerned. Governor Maggie Hassan says, ""we should halt acceptance of Syrian refugees until U.S. authorities can assure the vetting process, halt Syrian refugees."" Is she wrong?
",raddatz,manchester_2015_12_19,424,105.53846153846155,18,0,8,10.89,3,4,4,3
846,"Well, I agree that we have to have the toughest screening and vetting...
",clinton,manchester_2015_12_19,73,47.320000000000036,3,0,3,5.8100000000000005,1,2,0,0
847,"MUIR: But a halt?
",clinton,manchester_2015_12_19,18,4.0,0,0,0,-1.7399999999999998,0,0,0,0
848,"I don't think a halt is necessary. What we have to do is put all of our resources through the Department of Homeland Security, through the State Department, through our intelligence agencies, and we have to have an increased vetting and screening. Now, this takes, David, 18 months to 24 months, two years.
",clinton,manchester_2015_12_19,307,46.71544715447155,10,0,12,9.0,5,4,0,0
849,"So I know it's not going to happen overnight and everything that can be done should be done. But the process should move forward while we are also taking on ISIS, putting together the kind of strategy that I've advocated for, and making sure that the vetting and the screening is as tough as possible. Because I do believe that we have a history and a tradition, that is part of our values system and we don't want to sacrifice our values.
",clinton,manchester_2015_12_19,440,70.03521126760563,8,0,6,11.2875,7,5,0,1
850,"We don't want to make it seem as though we are turning into a nation of fear instead of a nation of resolve. So I want us to have a very tough screening process but I want that process to go forward. And if at the end of 18 months, 24 months there are people who have been cleared, and I would prioritize widows, and orphans, and the elderly, people who may have relatives, families, or have nowhere else to go. I would prioritize them.
",clinton,manchester_2015_12_19,437,39.624434389140276,10,0,9,8.295,8,2,0,0
851,"And that would I think give the American public a bit more of a sense of security about who is being processed and who might end up coming as refugees.
",clinton,manchester_2015_12_19,152,63.00000000000002,2,0,4,11.1625,2,0,0,0
852,"MUIR: Governor O'Malley, obviously you were governor yourself at one time. What would you say to New Hampshire's governor tonight? Is she wrong on this?
",clinton,manchester_2015_12_19,153,68.03999999999998,4,0,3,7.342499999999999,1,1,6,1
853,"No, what I would say is this is look, I was the first of the three of us to call for America to accept the 65,000 refugees we were asked to accept. And if this humanitarian crisis increases, we should accept more.
",o'malley,manchester_2015_12_19,214,41.89454545454545,3,0,9,8.125,6,3,0,0
854,"MUIR: So the idea of a halt or a pause? [applause]
",o'malley,manchester_2015_12_19,51,33.879999999999995,1,0,0,2.18,1,0,0,0
855,"David, there are wider vulnerabilities than when it comes to refugees. I met recently with some members of the Chaldean Christian communities and the wait times are a year, 18 months, 24 months. There is a pretty excruciating process that refugees go through. We need to invest more in terms of the other sort of visas and the other sort of waivers.
",o'malley,manchester_2015_12_19,350,51.86086956521739,7,0,2,7.922499999999999,5,1,0,0
856,"What these Chaldean families told me was that their families in Syria, when ISIS moves into their town, they actually paint a red cross across the door and mark their homes for demolition, and that tells the family you'd better get out now. The sort of genocide and brutality that the victims are suffering, these are not the perpetrators.
",o'malley,manchester_2015_12_19,340,77.53846153846155,9,0,0,13.6025,3,0,1,4
857,"We need to be the nation whose enduring symbol is the Statue of Liberty, and we need to act like the great country we are, according to our values.
",o'malley,manchester_2015_12_19,148,33.64,6,0,1,11.462499999999999,1,4,0,0
858,"MUIR: Governor, thank you.
",o'malley,manchester_2015_12_19,27,4.0,1,0,4,7.8375,0,0,1,0
859,"Senator Sanders -- Senator Sanders, we're going to move on. We're going to move on.
",raddatz,manchester_2015_12_19,84,8.0,1,0,10,5.555,0,2,0,0
860,"Excuse me. May I have a chance to respond to this issue?
",sanders,manchester_2015_12_19,57,40.319999999999986,2,0,0,3.7300000000000004,2,0,0,0
861,"We're going to move on to the fight against ISIS. You're the one who told us we have to follow the rules and break it off. [laughter]
",raddatz,manchester_2015_12_19,134,39.24666666666668,1,0,2,4.0875,2,2,1,0
862,"Yeah, but the rule includes equal -- got it. All right. [laughter]
",sanders,manchester_2015_12_19,67,11.0,2,0,8,3.5200000000000005,2,0,0,0
863,"OK. Let's keep going. Thank you.
",raddatz,manchester_2015_12_19,33,7.0,0,0,0,2.3175000000000003,0,0,1,0
864,"All right. Let's keep going. OK.
",sanders,manchester_2015_12_19,33,7.0,0,0,0,2.3175000000000003,0,0,0,0
865,"Thank you. I do want to move to the fight against ISIS.
",raddatz,manchester_2015_12_19,56,40.319999999999986,0,0,2,2.625,2,0,1,0
866,"Yeah.
",sanders,manchester_2015_12_19,6,1.0,0,0,0,-3.0524999999999998,0,0,0,0
867,"For the people of New Hampshire, the brutality of ISIS is personal. James Foley grew up here. The first hostage, a journalist, brutally executed last year. You've all said ISIS is a ruthless enemy and must be stopped. Al Qaida as well.
",raddatz,manchester_2015_12_19,236,86.28666666666666,9,0,5,6.115,4,1,1,2
868,"Senator Sanders, you voted to send U.S. ground forces to fight in the coalition to help destroy Al Qaida in Afghanistan. Can you then explain you why don't support sending U.S. combat troops to join a coalition to fight ISIS?
",raddatz,manchester_2015_12_19,226,47.06545454545454,7,0,7,8.9625,3,0,3,1
869,"And I also voted and helped lead the effort against the war in Iraq, which will go down in history as one of the worst foreign blunders -- foreign policy blunders in the history of our country.
",sanders,manchester_2015_12_19,194,30.104803493449783,5,0,3,13.9625,5,1,0,3
870,"I voted against the first Gulf War, which set the stage, I believe, for the second Iraq war. And what I believe right now, and I believe this is terribly important, is the United States of America cannot succeed, or be thought of as the policeman of the world, that when there's an international crisis all over the world, in France and in the U.K. Or -- hey, just call up the American military and the American taxpayers, they're going to send the troops.
",sanders,manchester_2015_12_19,457,49.849238843190534,7,0,18,11.5525,11,0,0,2
871,"And if they have to be in the Middle East for 20 or 30 years no problem.
",sanders,manchester_2015_12_19,73,15.0,1,0,0,3.7775,2,0,0,1
872,"But why Al Qaida, why not ISIS?
",raddatz,manchester_2015_12_19,32,13.719999999999997,1,0,0,0.5599999999999999,1,0,0,0
873,"I have a problem with that, Martha. What I believe has got to happen is there must be an international coalition, including Russia, a well-coordinated effort.
",sanders,manchester_2015_12_19,159,94.64000000000007,7,0,0,9.7475,5,1,0,0
874,"But I agree, as I mentioned a moment ago, with King Abdullah. This is a war for the soul of Islam. The troops on the ground should not be American troops. They should be Muslim troops. I believe that countries like Saudi Arabia and Qatar have got to step up to the plate, have got to contribute the money that we need, and the troops that we need, to destroy ISIS with American support.
",sanders,manchester_2015_12_19,387,59.52173913043478,9,0,3,6.0925,6,2,0,1
875,"The administration has tried that over and over again. If it doesn't work and this threat is so great, what's your plan B?
",raddatz,manchester_2015_12_19,123,87.50000000000006,1,0,3,5.039999999999999,3,0,2,0
876,"My plan is to make it work, to tell Saudi Arabia that instead of going to war in Yemen, they, one of the wealthiest countries on Earth, are going to have to go to war against ISIS.
",sanders,manchester_2015_12_19,181,47.915,4,0,0,12.405000000000001,6,1,0,1
877,"To tell Qatar, that instead of spending $200 billion on the World Cup, maybe they should pay attention to ISIS, which is at their doorstep. [applause]
",sanders,manchester_2015_12_19,151,174.9999999999999,3,0,19,10.77,3,0,0,2
878,"Secretary Clinton, you too have ruled out a large U.S. combat force, yet you support sending in special operations forces to Syria, and sending those 100 to 200 troops to Iraq to do exploitation kill raids.
",raddatz,manchester_2015_12_19,207,68.59999999999998,9,0,6,15.470000000000002,2,0,2,0
879,"We've already lost one Delta Force member in a raid. It has looked very much to me like we're already in ground combat on frequent trips I've made there.
",raddatz,manchester_2015_12_19,154,71.68,2,0,5,5.6525,4,2,0,0
880,"So, are you fooling Americans when you say, we're not putting American combat troops back into Syria or Iraq?
",raddatz,manchester_2015_12_19,110,111.99999999999991,4,0,4,9.620000000000001,2,1,2,0
881,"No. Not at all. I think that what we're facing with ISIS is especially complicated. It was a different situation in Afghanistan. We were attacked from Afghanistan. Al Qaida was based in Afghanistan. We went after those who had attacked us.
",clinton,manchester_2015_12_19,240,70.56000000000003,5,0,7,5.2875,6,5,0,0
882,"What's happening in Syria and Iraq is that, because of the failures in the region, including the failure of the prior government in Baghdad, led by Maliki, there has been a resurgence of Sunni activities, as exemplified by ISIS. And we have to support Sunni-Arab and Kurdish forces against ISIS, because I believe it would be not only a strategic mistake for the United States to put ground combat troops in, as opposed to special operators, as opposed to trainers, because that is exactly what ISIS wants.
",clinton,manchester_2015_12_19,507,88.0,22,0,0,18.407500000000002,13,1,0,0
883,"They've advertised that. They want American troops back in the Middle East. They want American soldiers on the ground fighting them, giving them many more targets, and giving them a great recruiting opportunity.
",clinton,manchester_2015_12_19,212,40.459999999999994,6,0,4,9.059999999999999,1,0,0,3
884,"So, I think it's absolutely wrong policy for us to be even imagining we're going end up putting tens of thousands of American troops into Syria and Iraq to fight ISIS.
",clinton,manchester_2015_12_19,168,152.46000000000015,5,0,3,13.16,6,1,0,0
885,"And we do have to form a coalition. I know how hard that is. I have formed them. I put together a coalition, including Arabs, with respect to Libya and a coalition to put sanctions onto Iran. And you have to really work hard at it.
",clinton,manchester_2015_12_19,232,41.32520325203252,5,0,4,3.4425,7,1,1,0
886,"And the final thing I would say, bringing Donald Trump back into it, if you're going to put together a coalition in the region to take on the threat of ISIS you don't want to alienate the very countries and people you need to be part of the coalition. And so that is part of the reason why this is so difficult. [applause]
",clinton,manchester_2015_12_19,323,56.44736842105263,9,1,37,11.415,8,0,3,0
887,"Secretary Clinton, I want -- I want to follow up on that. You do support sending special operations forces there. You support what the president has done already. One of the lessons people draw from Vietnam and war since is that a little force can turn into a little more and a little more. President Obama certainly didn't expect to be sending 30,000 additional troops into Afghanistan the first year of his presidency.
",raddatz,manchester_2015_12_19,421,59.61466357308585,11,0,13,8.572499999999998,5,0,2,1
888,"Are you prepared to run the risk of a bigger war to achieve your goals to destroy ISIS, or are you prepared to give up on those goals if it requires a larger force?
",raddatz,manchester_2015_12_19,165,40.459999999999994,3,0,0,11.1675,3,0,4,0
889,"Well, I just think you're asking a question with a false choice. I believe if we lead an air coalition, which we are now in the position of doing and intensify it, if we continue to build back up the Iraqi army, which has had some recent success in Ramadi, as you know, if we get back talking to the tribal sheiks in Anbar to try to rebuild those relationships, which were very successful, in going after Al Qaida in Iraq, if we get the Turks to pay more attention to ISIS than they're paying to the Kurds, if we do put together the kind of coalition with the specific tasks that I am outlining, I think we can be successful in destroying ISIS.
",clinton,manchester_2015_12_19,645,78.48050423985464,19,0,5,22.0825,21,9,2,2
890,"So that's what I'm focused on, that's what I've outlined and that's what I would do as president.
",clinton,manchester_2015_12_19,98,23.0,3,0,0,7.82,3,0,0,0
891,"Governor O'Malley. [applause] You've emphasized the need for more human intelligence on the ground. What is it our intelligence community is not doing now that needs to be done?
",raddatz,manchester_2015_12_19,178,89.69333333333331,8,0,2,10.93,5,1,1,0
892,"Well, we have invested nowhere near what we should be investing in human intelligence on the ground. And what I'm talking about is not only the covert CIA intelligence; I'm also talking about diplomatic intelligence. I mean, we've seen time and time again, especially in this very troubled region of nation-state failures, and then we have no idea who the next generation of leaders are that are coming forward.
",o'malley,manchester_2015_12_19,412,64.46861924686192,13,0,26,12.0725,12,5,0,0
893,"So what I would say is not only do we need to be thinking in military terms, but we do our military a disservice when we don't greatly dial up the investment that we are making in diplomacy and human intelligence and when we fail to dial up properly, the role of sustainable development in all of this. As president, I would make the administrator of USAID an actual cabinet member. We have to act in a much more whole of government approach, as General Dempsey said.
",o'malley,manchester_2015_12_19,468,88.0,17,0,15,13.002500000000001,9,7,0,0
894,"And I do believe, and I would disagree somewhat with one of my colleagues, this is a genocidal threat. They have now created a safe haven in the vacuum that we allowed to be partly and because of our blunders, to be created to be created in the areas of Syria and Iraq. We cannot allow safe havens, and as a leader of moral nations around this Earth, we need to come up with new alliances and new ways to prepare for these new sorts of threats, because Martha, this will not be the last region where nation-states fail.
",o'malley,manchester_2015_12_19,520,58.13201414233577,14,0,6,12.372499999999999,7,4,0,1
895,"And you've seen a little bit of this emerging in the -- in the African Union and the things that they have done to better stabilize Somalia. We need to pay attention here in Central America as well. So this is the new type of threats that we're facing and we need to lead as a nation in confronting it and putting together new alliances and new coalitions.
",o'malley,manchester_2015_12_19,357,56.765957446808514,8,0,4,9.025,6,4,1,3
896,"Well, I just want to quickly add...
",clinton,manchester_2015_12_19,36,7.0,0,0,4,2.2925,1,1,0,0
897,"Thank you.
",raddatz,manchester_2015_12_19,11,2.0,0,0,0,-0.9275,0,0,1,0
898,"Martha, that -- you know, one of the reasons why I have advocated for a no-fly zone is in order to create those safe refuges within Syria, to try to protect people on the ground both from Assad's forces, who are continuing to drop barrel bombs, and from ISIS. And of course, it has to be de-conflicted with the Russians, who are also flying in that space.
",clinton,manchester_2015_12_19,356,96.68615384615386,10,0,0,12.719999999999999,6,0,1,0
899,"I'm hoping that because of the very recent announcement of the agreement at the Security Council, which embodies actually an agreement that I negotiated back in Geneva in June of 2012, we're going to get a diplomatic effort in Syria to begin to try to make a transition. A no-fly zone would prevent the outflow of refugees and give us a chance to have some safe spaces.
",clinton,manchester_2015_12_19,370,69.96444444444445,17,0,8,14.622499999999999,5,1,0,0
900,"Secretary Clinton, I'd like to go back to that if I could. ISIS doesn't have aircraft, Al Qaida doesn't have aircraft. So would you shoot down a Syrian military aircraft or a Russian airplane?
",raddatz,manchester_2015_12_19,193,47.915,7,0,8,6.8025,4,0,1,0
901,"I do not think it would come to that. We are already de-conflicting air space. We know...
",clinton,manchester_2015_12_19,90,80.91999999999999,1,0,4,3.7,2,2,0,0
902,"But isn't that a decision you should make now, whether...
",raddatz,manchester_2015_12_19,58,11.0,1,0,0,6.265,1,0,1,0
903,"No, I don't think so. I am advocating...
",clinton,manchester_2015_12_19,41,22.679999999999993,1,0,7,1.6974999999999998,2,0,0,0
904,"... if you're advocating this?
",raddatz,manchester_2015_12_19,31,5.0,1,0,0,10.575000000000001,1,0,1,0
905,"I am advocating the no-fly zone both because I think it would help us on the ground to protect Syrians; I'm also advocating it because I think it gives us some leverage in our conversations with Russia.
",clinton,manchester_2015_12_19,203,39.216,5,0,26,15.4325,8,1,0,1
906,"Now that Russia has joined us in the Security Council, has adopted an agreement that we hashed out a long day in Geneva three years ago, now I think we can have those conversations. The no-fly zone, I would hope, would be also shared by Russia. If they will begin to turn their military attention away from going after the adversaries of Assad toward ISIS and put the Assad future on the political and diplomatic track, where it belongs. [crosstalk]
",clinton,manchester_2015_12_19,450,127.99999999999997,14,0,46,11.975,7,2,0,2
907,"MUIR: I want to take this to Senator -- I'm going to take this to Senator Sanders next, because I think there... [crosstalk]
",clinton,manchester_2015_12_19,125,23.0,1,0,12,9.4425,3,0,0,0
908,"I have a difference of opinion with Secretary Clinton on this. Our differences are fairly deep on this issue. We disagreed on the war in Iraq. We both listened to the information from Bush and Cheney. I voted against the war.
",sanders,manchester_2015_12_19,226,58.83500000000002,11,0,4,5.16,6,3,0,0
909,"But I think -- and I say this with due respect -- that I worry too much that Secretary Clinton is too much into regime change and a little bit too aggressive without knowing what the unintended consequences might be.
",sanders,manchester_2015_12_19,217,57.76,7,0,4,16.4025,5,0,0,0
910,"Yes, we could get rid of Saddam Hussein, but that destabilized the entire region. Yes, we could get rid of Gadhafi, a terrible dictator, but that created a vacuum for ISIS. Yes, we could get rid of Assad tomorrow, but that would create another political vacuum that would benefit ISIS. So I think, yeah, regime change is easy, getting rid of dictators is easy. But before you do that, you've got to think about what happens the day after. And in my view, what we need to do is put together broad coalitions to understand that we're not going to have a political vacuum filled by terrorists, that, in fact, we are going to move steadily -- and maybe slowly -- toward democratic societies, in terms of Assad, a terrible dictator. But I think in Syria the primary focus now must be on destroying ISIS and working over the years to get rid of Assad. That's the secondary issue.
",sanders,manchester_2015_12_19,874,56.10230369085955,27,0,50,9.6525,14,6,2,0
911,"That is exactly...
",clinton,manchester_2015_12_19,19,3.0,1,0,0,7.1125,1,0,0,0
912,"MUIR: Senator, thank you.
",clinton,manchester_2015_12_19,26,4.0,1,0,4,7.199999999999999,0,0,1,0
913,"That is exactly what I just said and what I just described.
",clinton,manchester_2015_12_19,60,12.72,2,0,0,5.34,3,0,0,0
914,"MUIR: Yeah, but, Secretary Clinton -- Secretary Clinton...
",clinton,manchester_2015_12_19,59,7.0,2,0,0,13.2125,0,0,0,0
915,"And that is important, because now we have a U.N. Security Council that will enable us to do that. And, you know, with all due respect, Senator, you voted for regime change with respect to Libya. You joined the Senate in voting to get rid of Gadhafi, and you asked that there be a Security Council validation of that with a resolution.
",clinton,manchester_2015_12_19,336,57.53125,11,0,14,7.5275,3,1,4,0
916,"All of these are very difficult issues. I know that; I've been dealing with them for a long time. And, of course, we have to continue to do what is necessary when someone like Gadhafi, a despot with American blood on his hands, is overturned. But I'll tell you what would have happened, if we had not joined with our European partners and our Arab partners to assist the people in Libya, you would be looking at Syria. Now the Libyans are turning their attention to try to dislodge ISIS from its foothold and begin to try to move together to have a unified nation.
",clinton,manchester_2015_12_19,565,114.49,17,0,14,8.7375,10,4,2,2
917,"I was not the secretary of state...
",sanders,manchester_2015_12_19,36,7.0,1,0,0,3.9375,1,0,0,0
918,"MUIR: Senator Sanders, Senator Sanders, hold on. One moment, please. I'm going to ask the secretary here, because there does appear to be some daylight here between the policies, at least in respect to when you take out Syrian President Bashar al-Assad. Right now or do you wait? Do you tackle ISIS first?
",sanders,manchester_2015_12_19,306,63.2383783783784,9,0,17,6.672499999999999,3,0,3,4
919,"You have said, Secretary Clinton, that you come to the conclusion that we have to proceed on both fronts at once. We heard from the senator just this week that we must put aside the issue of how quickly we get rid of Assad and come together with countries, including Russia and Iran, to destroy ISIS first. Is he wrong?
",sanders,manchester_2015_12_19,320,72.00000000000003,10,0,3,8.655000000000001,5,5,2,2
920,"I think we're missing the point here. We are doing both at the same time.
",clinton,manchester_2015_12_19,74,35.84,2,0,3,1.7225,1,2,0,2
921,"MUIR: But that's what he's saying, we should put that aside for now and go after ISIS.
",clinton,manchester_2015_12_19,87,50.54000000000001,1,0,10,5.6325,1,1,0,1
922,"Well, I don't agree with that, because we will not get the support on the ground in Syria to dislodge ISIS if the fighters there who are not associated with ISIS, but whose principal goal is getting rid of Assad, don't believe there is a political, diplomatic channel that is ongoing. We now have that. We have the U.N. Security Council adopting a resolution that lays out a transition path. It's very important we operate on both at the same time.
",clinton,manchester_2015_12_19,449,91.95454545454547,17,0,47,8.5125,10,5,0,0
923,"And let me just say a word about coalition-building, because I've heard Senator Sanders say this. I know how hard it is to build coalitions. I think it would be a grave mistake to ask for any more Iranian troops inside Syria. That is like asking the arsonist to come and pour more gas on the fire.
",clinton,manchester_2015_12_19,298,85.62909090909089,7,0,3,6.2125,9,0,0,1
924,"The Iranians getting more of a presence in Syria, linking with Hezbollah, their proxy in Lebanon, would threaten Israel and would make it more difficult for us to move on a path to have a transition that at some point would deal with Assad's future. [crosstalk]
",clinton,manchester_2015_12_19,262,77.315,11,0,20,18.155,5,0,0,2
925,"I happen to think...
",sanders,manchester_2015_12_19,21,4.0,0,0,1,0.81,1,0,0,0
926,"I'd like to offer a... [applause]
",o'malley,manchester_2015_12_19,34,7.0,1,0,2,2.545,1,0,0,0
927,"MUIR: She says we have to proceed on both fronts at once.
",o'malley,manchester_2015_12_19,58,12.0,1,0,1,3.67,0,1,0,1
928,"Secretary Clinton is right. This is a complicated issue. I don't think anyone has a magical solution.
",sanders,manchester_2015_12_19,102,45.359999999999985,6,0,3,7.605,4,0,0,0
929,"But this is what I do believe. Yes, of course Assad is a terrible dictator. But I think we have got to get our foreign policies and priorities right. The immediate -- it is not Assad who is attacking the United States. It is ISIS. And ISIS is attacking France and attacking Russian airliners.
",sanders,manchester_2015_12_19,293,37.683991683991685,9,0,5,5.83,13,2,0,0
